shot_id,episode,shot_number,duration,shot_type,camera,character,emotion,action,dialogue,scene,time_period,lighting,color_palette,ai_prompt
S0011,1,11,4.0,全景,跟拍,程蝶衣,凄美,"落座 - ""二十一年""""二十二年""",说好的，一辈子，差一年、一个月、一天、一个时辰，都不算一辈子。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,淡金,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 凄美 expression, 落座 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, full shot, 油灯暖光, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0012,1,12,5.7,过肩镜头,跟拍,程蝶衣,迷离,转身 - 二人步入闲置剧院,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,老照片褐,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 迷离 expression, 转身 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, over-the-shoulder shot, 烛火摇曳, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0013,1,13,7.7,全景,横移,段小楼,妥协,唱戏 - 回忆往事的开端,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,淡金,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 妥协 expression, 唱戏 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, full shot, 烛火摇曳, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0014,1,14,3.0,仰拍,横移,程蝶衣,绝望,"凝视 - ""二十一年""""二十二年""",不疯魔不成活。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),晨曦微光,琥珀,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 绝望 expression, 凝视 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, low angle shot, 晨曦微光, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0015,1,15,7.2,大全景,环绕,段小楼,震惊,转身 - 二人步入闲置剧院,我跟她划清界线！,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,琥珀,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 震惊 expression, 转身 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, wide establishing shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0016,1,16,4.4,中景,环绕,段小楼,挣扎,凝视 - 回忆往事的开端,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,琥珀,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 挣扎 expression, 凝视 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, medium shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0017,1,17,6.5,特写,拉远,程蝶衣,凄美,"化妆 - ""二十一年""""二十二年""",不疯魔不成活。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,暖黄,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 凄美 expression, 化妆 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, extreme close-up shot, 油灯暖光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0018,1,18,7.9,大全景,斯坦尼康,段小楼,悔恨,换装 - 二人步入闲置剧院,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,暖黄,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 悔恨 expression, 换装 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, wide establishing shot, 油灯暖光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0019,1,19,3.6,俯拍,升降,程蝶衣,凄美,抬眼 - 回忆往事的开端,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,琥珀,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 凄美 expression, 抬眼 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, high angle shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0020,1,20,6.2,俯拍,横移,段小楼,愧疚,"仰望 - ""二十一年""""二十二年""",日本人也不曾如此胡闹！,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,老照片褐,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 愧疚 expression, 仰望 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, high angle shot, 油灯暖光, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0021,1,21,3.2,仰拍,推进,程蝶衣,梦幻,站立 - 二人步入闲置剧院,蝶衣自知身陷泥淖，不敢往前多走一步。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,琥珀,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 梦幻 expression, 站立 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, low angle shot, 油灯暖光, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0022,1,22,7.0,主观镜头,环绕,段小楼,挣扎,挥手 - 回忆往事的开端,,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,琥珀,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 挣扎 expression, 挥手 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, POV shot, 油灯暖光, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0023,1,23,7.9,全景,跟拍,段小楼,悔恨,"低头 - ""二十一年""""二十二年""",,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,暖黄,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 悔恨 expression, 低头 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, full shot, 烛火摇曳, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0024,1,24,6.8,全景,升降,段小楼,挣扎,落座 - 二人步入闲置剧院,日本人也不曾如此胡闹！,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,琥珀,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 挣扎 expression, 落座 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, full shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0025,1,25,3.6,全景,推进,段小楼,挣扎,化妆 - 回忆往事的开端,二十一年。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),晨曦微光,淡金,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 挣扎 expression, 化妆 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, full shot, 晨曦微光, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0026,1,26,7.5,过肩镜头,跟拍,程蝶衣,迷离,"挥手 - ""二十一年""""二十二年""",,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,淡金,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 迷离 expression, 挥手 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, over-the-shoulder shot, 油灯暖光, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0027,1,27,4.3,仰拍,升降,程蝶衣,痴情,唱戏 - 二人步入闲置剧院,你们都是骗我的！,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),晨曦微光,老照片褐,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 痴情 expression, 唱戏 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, low angle shot, 晨曦微光, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0028,1,28,4.1,特写,推进,程蝶衣,凄美,拭泪 - 回忆往事的开端,我要跟你唱一辈子戏，少一年、一个月、一天、一个时辰，都不算一辈子。,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),烛火摇曳,淡金,"Leslie Cheung as Cheng Dieyi, ethereal beauty, feminine grace, Peking opera star, 凄美 expression, 拭泪 - 回忆往事的开端, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, extreme close-up shot, 烛火摇曳, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0029,1,29,7.1,主观镜头,拉远,段小楼,悔恨,"落座 - ""二十一年""""二十二年""",,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),油灯暖光,老照片褐,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 悔恨 expression, 落座 - ""二十一年""""二十二年"", set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, POV shot, 油灯暖光, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0030,1,30,5.5,俯拍,手持晃动,段小楼,震惊,练功 - 二人步入闲置剧院,他给袁四爷做了四年的妾！,1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅,民国初年 (1924-1937),晨曦微光,暖黄,"Zhang Fengyi as Duan Xiaolou, masculine, broad-shouldered, martial bearing, 震惊 expression, 练功 - 二人步入闲置剧院, set in 1977年闲置剧院 - 尘封破旧的老剧院，落满灰尘的红木座椅, high angle shot, 晨曦微光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0031,2,1,7.7,全景,跟拍,艳红,母爱,转身 - 艳红带小豆子,,窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁,民国初年 (1924-1937),晨曦微光,老照片褐,"艳红, 母爱 expression, 转身 - 艳红带小豆子, set in 窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁, full shot, 晨曦微光, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0032,2,2,6.0,全景,手持晃动,小豆子,倔强,俯身 - 六指被嘲笑,,北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘,民国初年 (1924-1937),晨曦微光,暖黄,"young boy, delicate features, androgynous beauty, vulnerable, 倔强 expression, 俯身 - 六指被嘲笑, set in 北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘, full shot, 晨曦微光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0033,2,3,5.8,俯拍,环绕,艳红,心痛,回望 - 庙会热闹场面,,北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘,民国初年 (1924-1937),烛火摇曳,琥珀,"艳红, 心痛 expression, 回望 - 庙会热闹场面, set in 北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘, high angle shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0034,2,4,5.0,全景,跟拍,艳红,狠心,唱戏 - 艳红带小豆子,,窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁,民国初年 (1924-1937),油灯暖光,暖黄,"艳红, 狠心 expression, 唱戏 - 艳红带小豆子, set in 窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁, full shot, 油灯暖光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0035,2,5,5.4,近景,固定,艳红,狠心,换装 - 六指被嘲笑,师傅，求您收下他吧！,北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘,民国初年 (1924-1937),烛火摇曳,老照片褐,"艳红, 狠心 expression, 换装 - 六指被嘲笑, set in 北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘, close-up shot, 烛火摇曳, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0036,2,6,6.1,中景,手持晃动,艳红,心痛,低头 - 庙会热闹场面,豆子，娘对不起你...,窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁,民国初年 (1924-1937),晨曦微光,老照片褐,"艳红, 心痛 expression, 低头 - 庙会热闹场面, set in 窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁, medium shot, 晨曦微光, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0037,2,7,7.9,中景,拉远,艳红,无奈,回望 - 艳红带小豆子,豆子，娘对不起你...,北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘,民国初年 (1924-1937),晨曦微光,老照片褐,"艳红, 无奈 expression, 回望 - 艳红带小豆子, set in 北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘, medium shot, 晨曦微光, color palette: 老照片褐, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0038,2,8,2.5,俯拍,跟拍,小豆子,渴望,回望 - 六指被嘲笑,娘...,窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁,民国初年 (1924-1937),晨曦微光,暖黄,"young boy, delicate features, androgynous beauty, vulnerable, 渴望 expression, 回望 - 六指被嘲笑, set in 窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁, high angle shot, 晨曦微光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0039,2,9,3.0,中景,拉远,小豆子,渴望,站立 - 庙会热闹场面,我本是男儿郎，又不是女娇娥...,北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘,民国初年 (1924-1937),晨曦微光,淡金,"young boy, delicate features, androgynous beauty, vulnerable, 渴望 expression, 站立 - 庙会热闹场面, set in 北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘, medium shot, 晨曦微光, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0040,2,10,2.9,俯拍,升降,艳红,母爱,落座 - 艳红带小豆子,豆子，娘对不起你...,窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁,民国初年 (1924-1937),晨曦微光,暖黄,"艳红, 母爱 expression, 落座 - 艳红带小豆子, set in 窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁, high angle shot, 晨曦微光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0041,2,11,4.8,大全景,升降,艳红,心痛,化妆 - 六指被嘲笑,,北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘,民国初年 (1924-1937),烛火摇曳,琥珀,"艳红, 心痛 expression, 化妆 - 六指被嘲笑, set in 北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘, wide establishing shot, 烛火摇曳, color palette: 琥珀, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0042,2,12,3.7,过肩镜头,升降,艳红,无奈,化妆 - 庙会热闹场面,,北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘,民国初年 (1924-1937),晨曦微光,暖黄,"艳红, 无奈 expression, 化妆 - 庙会热闹场面, set in 北平庙会 - 民国初年热闹庙会，杂耍摊位，人群熙攘, over-the-shoulder shot, 晨曦微光, color palette: 暖黄, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
S0043,2,13,7.4,俯拍,斯坦尼康,艳红,无奈,凝视 - 艳红带小豆子,豆子，娘对不起你...,窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁,民国初年 (1924-1937),油灯暖光,淡金,"艳红, 无奈 expression, 凝视 - 艳红带小豆子, set in 窑姐艳红住所 - 简陋破旧的单间，昏暗油灯，斑驳墙壁, high angle shot, 油灯暖光, color palette: 淡金, cinematography by Gu Changwei, Chen Kaige's Farewell My Concubine aesthetic, Peking opera visual elements, 1990s Chinese cinema, dramatic lighting, film grain, cinematic composition"
