"shot_id","episode","scene_num","duration","shot_type","camera_angle","camera_movement","character","emotion","action","location","dialogue","Image_Prompt","Video_Prompt"
"E001_S011","1","2","3.2","CU","High-angle","Handheld","學徒們","威嚴","揮打","關家科班","","Cinematic, CU shot, High-angle, 學徒們, 威嚴, 揮打, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Handheld camera, CU shot, 學徒們 揮打, 威嚴 mood, 關家科班, high-key lighting, cinematic, 3.2s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S012","1","2","2.1","MCU","High-angle","Steadicam","小癩子","恐懼","偷看","關家科班","","Cinematic, MCU shot, High-angle, 小癩子, 恐懼, 偷看, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Steadicam camera, MCU shot, 小癩子 偷看, 恐懼 mood, 關家科班, high-key lighting, cinematic, 2.1s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S013","1","2","3.5","MS","High-angle","Drone","小豆子娘","痛楚","站立","胡同磨刀攤","","Cinematic, MS shot, High-angle, 小豆子娘, 痛楚, 站立, 胡同磨刀攤, 日間, high-key lighting, 白灰血紅, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Drone camera, MS shot, 小豆子娘 站立, 痛楚 mood, 胡同磨刀攤, high-key lighting, cinematic, 3.5s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S014","1","2","3.9","MLS","Low-angle","Static","小豆子","痛楚","擁抱","胡同磨刀攤","","Cinematic, MLS shot, Low-angle, 小豆子, 痛楚, 擁抱, 胡同磨刀攤, 日間, high-key lighting, 白灰血紅, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","MLS shot, 小豆子 擁抱, 痛楚 mood, 胡同磨刀攤, high-key lighting, cinematic, 3.9s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S015","1","2","2.2","LS","Low-angle","Pan-L","小豆子娘","痛楚","站立","胡同磨刀攤","娘，我手冷","Cinematic, LS shot, Low-angle, 小豆子娘, 痛楚, 站立, 胡同磨刀攤, 日間, high-key lighting, 白灰血紅, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-L camera, LS shot, 小豆子娘 站立, 痛楚 mood, 胡同磨刀攤, high-key lighting, cinematic, 2.2s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S016","1","2","2.6","ELS","Low-angle","Pan-R","小豆子娘","痛楚","站立","胡同磨刀攤","","Cinematic, ELS shot, Low-angle, 小豆子娘, 痛楚, 站立, 胡同磨刀攤, 日間, high-key lighting, 白灰血紅, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-R camera, ELS shot, 小豆子娘 站立, 痛楚 mood, 胡同磨刀攤, high-key lighting, cinematic, 2.6s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S017","1","3","2.2","OTS","Low-angle","Tilt-up","關師傅","審視","顫抖","關家堂屋","","Cinematic, OTS shot, Low-angle, 關師傅, 審視, 顫抖, 關家堂屋, 黃昏, high-key lighting, 暗褐暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-up camera, OTS shot, 關師傅 顫抖, 審視 mood, 關家堂屋, high-key lighting, cinematic, 2.2s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S018","1","3","2.3","POV","Low-angle","Tilt-down","小豆子","懇求","檢查","關家堂屋","","Cinematic, POV shot, Low-angle, 小豆子, 懇求, 檢查, 關家堂屋, 黃昏, high-key lighting, 暗褐暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-down camera, POV shot, 小豆子 檢查, 懇求 mood, 關家堂屋, high-key lighting, cinematic, 2.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S019","1","3","3.5","2Shot","Low-angle","Dolly-in","關師傅","恐懼","跪地","關家堂屋","","Cinematic, 2Shot shot, Low-angle, 關師傅, 恐懼, 跪地, 關家堂屋, 黃昏, high-key lighting, 暗褐暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-in camera, 2Shot shot, 關師傅 跪地, 恐懼 mood, 關家堂屋, high-key lighting, cinematic, 3.5s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S020","1","3","3.9","ECU","Low-angle","Dolly-out","小豆子娘","恐懼","顫抖","關家堂屋","救他一命了","Cinematic, ECU shot, Low-angle, 小豆子娘, 恐懼, 顫抖, 關家堂屋, 黃昏, high-key lighting, 暗褐暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-out camera, ECU shot, 小豆子娘 顫抖, 恐懼 mood, 關家堂屋, high-key lighting, cinematic, 3.9s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S021","1","3","2.5","CU","Dutch","Truck-L","小石頭","痛苦","壓腿","練功房","","Cinematic, CU shot, Dutch, 小石頭, 痛苦, 壓腿, 練功房, 各時段, high-key lighting, 青灰木色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-L camera, CU shot, 小石頭 壓腿, 痛苦 mood, 練功房, high-key lighting, cinematic, 2.5s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S022","1","3","2.6","MCU","Dutch","Truck-R","小石頭","痛苦","互助","練功房","","Cinematic, MCU shot, Dutch, 小石頭, 痛苦, 互助, 練功房, 各時段, high-key lighting, 青灰木色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-R camera, MCU shot, 小石頭 互助, 痛苦 mood, 練功房, high-key lighting, cinematic, 2.6s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S023","1","3","2.3","MS","Dutch","Crane-up","小豆子","友愛","壓腿","練功房","","Cinematic, MS shot, Dutch, 小豆子, 友愛, 壓腿, 練功房, 各時段, high-key lighting, 青灰木色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-up camera, MS shot, 小豆子 壓腿, 友愛 mood, 練功房, high-key lighting, cinematic, 2.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S024","1","3","3.4","MLS","Dutch","Crane-down","小石頭","堅持","唱腔","練功房","","Cinematic, MLS shot, Dutch, 小石頭, 堅持, 唱腔, 練功房, 各時段, high-key lighting, 青灰木色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-down camera, MLS shot, 小石頭 唱腔, 堅持 mood, 練功房, high-key lighting, cinematic, 3.4s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S025","1","4","3.6","LS","Dutch","Handheld","段小樓","癡迷","對唱","戲園子","虞兮虞兮奈若何","Cinematic, LS shot, Dutch, 段小樓, 癡迷, 對唱, 戲園子, 夜間, high-key lighting, 濃艷戲彩, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Handheld camera, LS shot, 段小樓 對唱, 癡迷 mood, 戲園子, high-key lighting, cinematic, 3.6s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S026","1","4","3.8","ELS","Dutch","Steadicam","觀眾","入戲","對唱","戲園子","","Cinematic, ELS shot, Dutch, 觀眾, 入戲, 對唱, 戲園子, 夜間, high-key lighting, 濃艷戲彩, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Steadicam camera, ELS shot, 觀眾 對唱, 入戲 mood, 戲園子, high-key lighting, cinematic, 3.8s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S027","1","4","2.8","OTS","Dutch","Drone","程蝶衣","霸氣","對唱","戲園子","","Cinematic, OTS shot, Dutch, 程蝶衣, 霸氣, 對唱, 戲園子, 夜間, high-key lighting, 濃艷戲彩, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Drone camera, OTS shot, 程蝶衣 對唱, 霸氣 mood, 戲園子, high-key lighting, cinematic, 2.8s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S028","1","4","2.9","POV","Bird-eye","Static","段小樓","癡迷","舞劍","戲園子","","Cinematic, POV shot, Bird-eye, 段小樓, 癡迷, 舞劍, 戲園子, 夜間, high-key lighting, 濃艷戲彩, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","POV shot, 段小樓 舞劍, 癡迷 mood, 戲園子, high-key lighting, cinematic, 2.9s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S029","1","4","3.1","2Shot","Bird-eye","Pan-L","段小樓","糾結","化妝","後台化妝間","","Cinematic, 2Shot shot, Bird-eye, 段小樓, 糾結, 化妝, 後台化妝間, 夜間, high-key lighting, 暗紅暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-L camera, 2Shot shot, 段小樓 化妝, 糾結 mood, 後台化妝間, high-key lighting, cinematic, 3.1s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S030","1","4","2.8","ECU","Bird-eye","Pan-R","段小樓","糾結","化妝","後台化妝間","蝶衣","Cinematic, ECU shot, Bird-eye, 段小樓, 糾結, 化妝, 後台化妝間, 夜間, high-key lighting, 暗紅暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-R camera, ECU shot, 段小樓 化妝, 糾結 mood, 後台化妝間, high-key lighting, cinematic, 2.8s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S031","1","4","2.6","CU","Bird-eye","Tilt-up","程蝶衣","糾結","化妝","後台化妝間","","Cinematic, CU shot, Bird-eye, 程蝶衣, 糾結, 化妝, 後台化妝間, 夜間, high-key lighting, 暗紅暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-up camera, CU shot, 程蝶衣 化妝, 糾結 mood, 後台化妝間, high-key lighting, cinematic, 2.6s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S032","1","4","2.1","MCU","Bird-eye","Tilt-down","段小樓","隱忍","化妝","後台化妝間","","Cinematic, MCU shot, Bird-eye, 段小樓, 隱忍, 化妝, 後台化妝間, 夜間, high-key lighting, 暗紅暖光, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-down camera, MCU shot, 段小樓 化妝, 隱忍 mood, 後台化妝間, high-key lighting, cinematic, 2.1s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S033","1","5","3.9","MS","Bird-eye","Dolly-in","菊仙","絕望","摔門","各場景","","Cinematic, MS shot, Bird-eye, 菊仙, 絕望, 摔門, 各場景, 各時段, high-key lighting, 高對比, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-in camera, MS shot, 菊仙 摔門, 絕望 mood, 各場景, high-key lighting, cinematic, 3.9s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S034","1","5","2.5","MLS","Bird-eye","Dolly-out","段小樓","絕望","爭吵","各場景","","Cinematic, MLS shot, Bird-eye, 段小樓, 絕望, 爭吵, 各場景, 各時段, high-key lighting, 高對比, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-out camera, MLS shot, 段小樓 爭吵, 絕望 mood, 各場景, high-key lighting, cinematic, 2.5s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S035","1","5","2.8","LS","Worm-eye","Truck-L","程蝶衣","憤怒","爭吵","各場景","你變了","Cinematic, LS shot, Worm-eye, 程蝶衣, 憤怒, 爭吵, 各場景, 各時段, high-key lighting, 高對比, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-L camera, LS shot, 程蝶衣 爭吵, 憤怒 mood, 各場景, high-key lighting, cinematic, 2.8s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S036","1","5","3.4","ELS","Worm-eye","Truck-R","程蝶衣","憤怒","摔門","各場景","","Cinematic, ELS shot, Worm-eye, 程蝶衣, 憤怒, 摔門, 各場景, 各時段, high-key lighting, 高對比, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-R camera, ELS shot, 程蝶衣 摔門, 憤怒 mood, 各場景, high-key lighting, cinematic, 3.4s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S037","1","5","3.2","OTS","Worm-eye","Crane-up","段小樓","抉擇","關鍵動作","各場景","","Cinematic, OTS shot, Worm-eye, 段小樓, 抉擇, 關鍵動作, 各場景, 各時段, high-key lighting, 極端色調, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-up camera, OTS shot, 段小樓 關鍵動作, 抉擇 mood, 各場景, high-key lighting, cinematic, 3.2s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S038","1","5","2.1","POV","Worm-eye","Crane-down","段小樓","抉擇","轉變","各場景","","Cinematic, POV shot, Worm-eye, 段小樓, 抉擇, 轉變, 各場景, 各時段, high-key lighting, 極端色調, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-down camera, POV shot, 段小樓 轉變, 抉擇 mood, 各場景, high-key lighting, cinematic, 2.1s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S039","1","5","2.3","2Shot","Worm-eye","Handheld","程蝶衣","崩潰","關鍵動作","各場景","","Cinematic, 2Shot shot, Worm-eye, 程蝶衣, 崩潰, 關鍵動作, 各場景, 各時段, high-key lighting, 極端色調, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Handheld camera, 2Shot shot, 程蝶衣 關鍵動作, 崩潰 mood, 各場景, high-key lighting, cinematic, 2.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E001_S040","1","5","2.3","ECU","Worm-eye","Steadicam","段小樓","覺醒","轉變","各場景","我本是男兒郎","Cinematic, ECU shot, Worm-eye, 段小樓, 覺醒, 轉變, 各場景, 各時段, high-key lighting, 極端色調, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Steadicam camera, ECU shot, 段小樓 轉變, 覺醒 mood, 各場景, high-key lighting, cinematic, 2.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S001","2","1","2.7","CU","Eye-level","Pan-L","管場人","滄桑","對話交談","現代劇院","","Cinematic, CU shot, Eye-level, 管場人, 滄桑, 對話交談, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-L camera, CU shot, 管場人 對話交談, 滄桑 mood, 現代劇院, high-key lighting, cinematic, 2.7s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S002","2","1","2.3","MCU","Eye-level","Pan-R","段小樓","滄桑","對話交談","現代劇院","","Cinematic, MCU shot, Eye-level, 段小樓, 滄桑, 對話交談, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Pan-R camera, MCU shot, 段小樓 對話交談, 滄桑 mood, 現代劇院, high-key lighting, cinematic, 2.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S003","2","1","3.0","MS","Eye-level","Tilt-up","管場人","懷舊","對話交談","現代劇院","","Cinematic, MS shot, Eye-level, 管場人, 懷舊, 對話交談, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-up camera, MS shot, 管場人 對話交談, 懷舊 mood, 現代劇院, high-key lighting, cinematic, 3.0s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S004","2","1","2.4","MLS","Eye-level","Tilt-down","程蝶衣","滄桑","環顧四周","現代劇院","","Cinematic, MLS shot, Eye-level, 程蝶衣, 滄桑, 環顧四周, 現代劇院, 日間, high-key lighting, 灰藍冷色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Tilt-down camera, MLS shot, 程蝶衣 環顧四周, 滄桑 mood, 現代劇院, high-key lighting, cinematic, 2.4s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S005","2","1","2.3","LS","Eye-level","Dolly-in","路人","畏怯","牽手走路","北平廟會","臭婊子","Cinematic, LS shot, Eye-level, 路人, 畏怯, 牽手走路, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-in camera, LS shot, 路人 牽手走路, 畏怯 mood, 北平廟會, high-key lighting, cinematic, 2.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S006","2","1","3.2","ELS","Eye-level","Dolly-out","路人","畏怯","張望","北平廟會","","Cinematic, ELS shot, Eye-level, 路人, 畏怯, 張望, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Dolly-out camera, ELS shot, 路人 張望, 畏怯 mood, 北平廟會, high-key lighting, cinematic, 3.2s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S007","2","1","3.3","OTS","High-angle","Truck-L","小豆子娘","決絕","張望","北平廟會","","Cinematic, OTS shot, High-angle, 小豆子娘, 決絕, 張望, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-L camera, OTS shot, 小豆子娘 張望, 決絕 mood, 北平廟會, high-key lighting, cinematic, 3.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S008","2","1","2.9","POV","High-angle","Truck-R","小豆子","市井","張望","北平廟會","","Cinematic, POV shot, High-angle, 小豆子, 市井, 張望, 北平廟會, 日間, high-key lighting, 暖黃雜色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Truck-R camera, POV shot, 小豆子 張望, 市井 mood, 北平廟會, high-key lighting, cinematic, 2.9s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S009","2","2","3.8","2Shot","High-angle","Crane-up","關師傅","威嚴","揮打","關家科班","","Cinematic, 2Shot shot, High-angle, 關師傅, 威嚴, 揮打, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-up camera, 2Shot shot, 關師傅 揮打, 威嚴 mood, 關家科班, high-key lighting, cinematic, 3.8s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S010","2","2","3.7","ECU","High-angle","Crane-down","小石頭","恐懼","偷看","關家科班","打死我也不跑了","Cinematic, ECU shot, High-angle, 小石頭, 恐懼, 偷看, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Crane-down camera, ECU shot, 小石頭 偷看, 恐懼 mood, 關家科班, high-key lighting, cinematic, 3.7s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S011","2","2","2.1","CU","High-angle","Handheld","小癩子","堅毅","哭泣","關家科班","","Cinematic, CU shot, High-angle, 小癩子, 堅毅, 哭泣, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Handheld camera, CU shot, 小癩子 哭泣, 堅毅 mood, 關家科班, high-key lighting, cinematic, 2.1s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S012","2","2","3.3","MCU","High-angle","Steadicam","小石頭","堅毅","哭泣","關家科班","","Cinematic, MCU shot, High-angle, 小石頭, 堅毅, 哭泣, 關家科班, 黃昏, high-key lighting, 土褐暗色, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Steadicam camera, MCU shot, 小石頭 哭泣, 堅毅 mood, 關家科班, high-key lighting, cinematic, 3.3s duration, Chinese opera, 1920s Beijing aesthetic"
"E002_S013","2","2","3.1","MS","High-angle","Drone","小豆子娘","痛楚","掙扎","胡同磨刀攤","","Cinematic, MS shot, High-angle, 小豆子娘, 痛楚, 掙扎, 胡同磨刀攤, 日間, high-key lighting, 白灰血紅, Chinese opera drama, 1920s Beijing, film grain, 8K, 《霸王別姬》陳凱歌 1Mo, --ar 16:9 --style raw","Drone camera, MS shot, 小豆子娘 掙扎, 痛楚 mood, 胡同磨刀攤, high-key lighting, cinematic, 3.1s duration, Chinese opera, 1920s Beijing aesthetic"
