"shot_id","episode","scene_num","shot_number","duration","shot_type","camera_angle","camera_movement","lens","focus","key_light","lighting_style","color_temp","light_direction","shadows","framing","depth","headroom","lead_room","character","emotion","action","eyeline","blocking","location","time_of_day","weather","props","costume","color_palette","dialogue","sfx","music","ambience","transition_in","transition_out","pacing","beat","phase","prompt_style","prompt_camera","prompt_mood","prompt_lighting","reference"
"E001_S011","1","2","11","3.2","CU","High-angle","Handheld","Wide 24mm","Shallow","Soft-key","High-key","Neutral-5600K","Top","Soft","Center","MG-focus","Normal","Lead-right","學徒們","威嚴","揮打","Camera","Static","關家科班","黃昏","陰冷","竹竿","破衣","土褐暗色","","鑼鼓聲","","空曠","Fade-out","Cut","Medium","Build","起","Cinematic","cu shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S012","1","2","12","2.1","MCU","High-angle","Steadicam","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","Bottom","Soft","Golden-ratio","MG-focus","Normal","Lead-right","小癩子","恐懼","偷看","Down","Cross","關家科班","黃昏","陰冷","練功墊","練功服","土褐暗色","","鑼鼓聲","","嘈雜","Wipe","Cut","Medium","Build","起","Cinematic","mcu shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S013","1","2","13","3.5","MS","High-angle","Drone","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","3-point","Soft","Symmetry","MG-focus","Normal","Lead-right","小豆子娘","痛楚","站立","Down","Cross","胡同磨刀攤","日間","雪天","毡帽","破舊棉襖","白灰血紅","","","","安靜","Match-cut","Cut","Medium","Build","起","Cinematic","ms shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S014","1","2","14","3.9","MLS","Low-angle","Static","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","Front","Soft","Dynamic","MG-focus","Normal","Lead-right","小豆子","痛楚","擁抱","Camera","Enter-R","胡同磨刀攤","日間","雪天","菜刀","老式旗袍","白灰血紅","","人群嘈雜","","安靜","J-cut","Cut","Medium","Build","起","Cinematic","mls shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S015","1","2","15","2.2","LS","Low-angle","Pan-L","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","Side-L","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","小豆子娘","痛楚","站立","Down","Exit-L","胡同磨刀攤","日間","雪天","毡帽","老式旗袍","白灰血紅","娘，我手冷","風聲","","嘈雜","L-cut","Cut","Medium","Build","起","Cinematic","ls shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S016","1","2","16","2.6","ELS","Low-angle","Pan-R","Normal 35mm","Shallow","Natural","High-key","Neutral-5600K","Side-R","Soft","Center","BG-focus","Normal","Lead-right","小豆子娘","痛楚","站立","Up","Turn","胡同磨刀攤","日間","雪天","磨刀石","老式旗袍","白灰血紅","","呼吸聲","","安靜","Cut","Cut","Medium","Build","起","Cinematic","els shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S017","1","3","17","2.2","OTS","Low-angle","Tilt-up","Normal 35mm","Shallow","Natural","High-key","Neutral-5600K","Back","Soft","Golden-ratio","BG-focus","Normal","Lead-right","關師傅","審視","顫抖","Off-screen-L","Turn","關家堂屋","黃昏","室內","茶碗","長袍","暗褐暖光","","衣物摩擦","","壓抑","Dissolve","Cut","Medium","Build","起","Cinematic","ots shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S018","1","3","18","2.3","POV","Low-angle","Tilt-down","Normal 50mm","Shallow","Natural","High-key","Neutral-5600K","Top","Soft","Symmetry","BG-focus","Normal","Lead-right","小豆子","懇求","檢查","Off-screen-L","Static","關家堂屋","黃昏","室內","茶碗","長袍","暗褐暖光","","腳步聲","","壓抑","Fade-in","Cut","Medium","Build","起","Cinematic","pov shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S019","1","3","19","3.5","2Shot","Low-angle","Dolly-in","Normal 50mm","Shallow","Natural","High-key","Neutral-5600K","Bottom","Soft","Dynamic","BG-focus","Normal","Lead-right","關師傅","恐懼","跪地","Camera","Static","關家堂屋","黃昏","室內","茶碗","旗袍","暗褐暖光","","鑼鼓聲","","空曠","Fade-out","Cut","Medium","Build","起","Cinematic","2shot shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S020","1","3","20","3.9","ECU","Low-angle","Dolly-out","Normal 50mm","Rack-focus","Natural","High-key","Cool-7000K","3-point","None","Rule-of-thirds","BG-focus","Loose","Center","小豆子娘","恐懼","顫抖","Off-screen-L","Enter-R","關家堂屋","黃昏","室內","祖師爺牌位","旗袍","暗褐暖光","救他一命了","呼吸聲","京劇過門","迴響","Wipe","Cut","Medium","Build","起","Cinematic","ecu shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S021","1","3","21","2.5","CU","Dutch","Truck-L","Normal 50mm","Rack-focus","Natural","High-key","Cool-7000K","Front","None","Center","BG-focus","Loose","Center","小石頭","痛苦","壓腿","Camera","Enter-R","練功房","各時段","室內","翎子","練功服","青灰木色","","衣物摩擦","","壓抑","Match-cut","Cut","Fast","Tension","起","Cinematic","cu shot, dutch","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S022","1","3","22","2.6","MCU","Dutch","Truck-R","Normal 50mm","Rack-focus","Natural","High-key","Cool-7000K","Side-L","None","Golden-ratio","BG-focus","Loose","Center","小石頭","痛苦","互助","Up","Turn","練功房","各時段","室內","水袖","練功服","青灰木色","","呼吸聲","","迴響","J-cut","Cut","Fast","Tension","起","Cinematic","mcu shot, dutch","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S023","1","3","23","2.3","MS","Dutch","Crane-up","Normal 50mm","Rack-focus","Natural","High-key","Cool-7000K","Side-R","None","Symmetry","BG-focus","Loose","Center","小豆子","友愛","壓腿","Down","Exit-L","練功房","各時段","室內","靶子","練功服","青灰木色","","","","安靜","L-cut","Cut","Fast","Tension","起","Cinematic","ms shot, dutch","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S024","1","3","24","3.4","MLS","Dutch","Crane-down","Tele 85mm","Rack-focus","Practical","High-key","Cool-7000K","Back","None","Dynamic","Deep-all","Loose","Center","小石頭","堅持","唱腔","Camera","Enter-R","練功房","各時段","室內","翎子","練功服","青灰木色","","鑼鼓聲","","安靜","Cut","Cut","Fast","Tension","起","Cinematic","mls shot, dutch","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S025","1","4","25","3.6","LS","Dutch","Handheld","Tele 85mm","Rack-focus","Practical","High-key","Cool-7000K","Top","None","Rule-of-thirds","Deep-all","Loose","Center","段小樓","癡迷","對唱","Down","Turn","戲園子","夜間","室內","胡琴","虞姬戲服","濃艷戲彩","虞兮虞兮奈若何","","","壓抑","Dissolve","Cut","Fast","Tension","起","Cinematic","ls shot, dutch","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S026","1","4","26","3.8","ELS","Dutch","Steadicam","Tele 85mm","Rack-focus","Practical","High-key","Cool-7000K","Bottom","None","Center","Deep-all","Loose","Center","觀眾","入戲","對唱","Off-screen-L","Exit-R","戲園子","夜間","室內","胡琴","虞姬戲服","濃艷戲彩","","","","壓抑","Fade-in","Cut","Fast","Tension","起","Cinematic","els shot, dutch","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S027","1","4","27","2.8","OTS","Dutch","Drone","Tele 85mm","Rack-focus","Practical","High-key","Cool-7000K","3-point","None","Golden-ratio","Deep-all","Loose","Center","程蝶衣","霸氣","對唱","Down","Turn","戲園子","夜間","室內","道具劍","虞姬戲服","濃艷戲彩","","","","嘈雜","Fade-out","Cut","Fast","Tension","起","Cinematic","ots shot, dutch","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S028","1","4","28","2.9","POV","Bird-eye","Static","Tele 85mm","Rack-focus","Practical","High-key","Cool-7000K","Front","None","Symmetry","Deep-all","Loose","Center","段小樓","癡迷","舞劍","Down","Cross","戲園子","夜間","室內","戲服","霸王戲服","濃艷戲彩","","呼吸聲","","安靜","Wipe","Cut","Fast","Tension","起","Cinematic","pov shot, bird-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S029","1","4","29","3.1","2Shot","Bird-eye","Pan-L","Tele 85mm","Rack-focus","Practical","High-key","Cool-7000K","Side-L","None","Dynamic","Deep-all","Loose","Center","段小樓","糾結","化妝","Off-screen-R","Enter-L","後台化妝間","夜間","室內","化妝鏡","戲服/便裝","暗紅暖光","","呼吸聲","","空曠","Match-cut","Cut","Fast","Tension","起","Cinematic","2shot shot, bird-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S030","1","4","30","2.8","ECU","Bird-eye","Pan-R","Tele 135mm","Split-diopter","Practical","High-key","Mixed","Side-R","Dramatic","Rule-of-thirds","Deep-all","Cropped","Off-frame","段小樓","糾結","化妝","Down","Exit-L","後台化妝間","夜間","室內","戲服","戲服/便裝","暗紅暖光","蝶衣","腳步聲","寂靜","安靜","J-cut","Cut","Fast","Tension","起","Cinematic","ecu shot, bird-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S031","1","4","31","2.6","CU","Bird-eye","Tilt-up","Tele 135mm","Split-diopter","Practical","High-key","Mixed","Back","Dramatic","Center","Deep-all","Cropped","Off-frame","程蝶衣","糾結","化妝","Off-screen-R","Cross","後台化妝間","夜間","室內","戲服","戲服/便裝","暗紅暖光","","","","嘈雜","L-cut","Cut","Fast","Climax","起","Cinematic","cu shot, bird-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S032","1","4","32","2.1","MCU","Bird-eye","Tilt-down","Tele 135mm","Split-diopter","Mixed","High-key","Mixed","Top","Dramatic","Golden-ratio","Layered","Cropped","Off-frame","段小樓","隱忍","化妝","Up","Turn","後台化妝間","夜間","室內","頭面","戲服/便裝","暗紅暖光","","呼吸聲","","空曠","Cut","Cut","Fast","Climax","起","Cinematic","mcu shot, bird-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S033","1","5","33","3.9","MS","Bird-eye","Dolly-in","Tele 135mm","Split-diopter","Mixed","High-key","Mixed","Bottom","Dramatic","Symmetry","Layered","Cropped","Off-frame","菊仙","絕望","摔門","Down","Enter-L","各場景","各時段","各天氣","各種","各式","高對比","","腳步聲","","嘈雜","Dissolve","Cut","Fast","Climax","起","Cinematic","ms shot, bird-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S034","1","5","34","2.5","MLS","Bird-eye","Dolly-out","Tele 135mm","Split-diopter","Mixed","High-key","Mixed","3-point","Dramatic","Dynamic","Layered","Cropped","Off-frame","段小樓","絕望","爭吵","Camera","Enter-L","各場景","各時段","各天氣","各種","各式","高對比","","","","迴響","Fade-in","Cut","Fast","Climax","起","Cinematic","mls shot, bird-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S035","1","5","35","2.8","LS","Worm-eye","Truck-L","Tele 135mm","Split-diopter","Mixed","High-key","Mixed","Front","Dramatic","Rule-of-thirds","Layered","Cropped","Off-frame","程蝶衣","憤怒","爭吵","Up","Cross","各場景","各時段","各天氣","各種","各式","高對比","你變了","環境音","","迴響","Fade-out","Cut","Fast","Climax","起","Cinematic","ls shot, worm-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S036","1","5","36","3.4","ELS","Worm-eye","Truck-R","Wide 16mm","Split-diopter","Mixed","High-key","Mixed","Side-L","Dramatic","Center","Layered","Cropped","Off-frame","程蝶衣","憤怒","摔門","Camera","Cross","各場景","各時段","各天氣","各種","各式","高對比","","呼吸聲","","壓抑","Wipe","Cut","Fast","Climax","起","Cinematic","els shot, worm-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S037","1","5","37","3.2","OTS","Worm-eye","Crane-up","Wide 16mm","Split-diopter","Mixed","High-key","Mixed","Side-R","Dramatic","Golden-ratio","Layered","Cropped","Off-frame","段小樓","抉擇","關鍵動作","Camera","Exit-R","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","","","空曠","Match-cut","Cut","Fast","Climax","起","Cinematic","ots shot, worm-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S038","1","5","38","2.1","POV","Worm-eye","Crane-down","Wide 16mm","Split-diopter","Mixed","High-key","Mixed","Back","Dramatic","Symmetry","Layered","Cropped","Off-frame","段小樓","抉擇","轉變","Up","Turn","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","人群嘈雜","","空曠","J-cut","Cut","Slow","Release","起","Cinematic","pov shot, worm-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S039","1","5","39","2.3","2Shot","Worm-eye","Handheld","Wide 16mm","Split-diopter","Mixed","High-key","Mixed","Top","Dramatic","Dynamic","Layered","Cropped","Off-frame","程蝶衣","崩潰","關鍵動作","Up","Cross","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","","腳步聲","","安靜","L-cut","Cut","Slow","Release","起","Cinematic","2shot shot, worm-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E001_S040","1","5","40","2.3","ECU","Worm-eye","Steadicam","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Bottom","Harsh","Rule-of-thirds","FG-focus","Tight","Lead-left","段小樓","覺醒","轉變","Down","Turn","各場景","各時段","各天氣","關鍵道具","關鍵服裝","極端色調","我本是男兒郎","鑼鼓聲","悲傷二胡","安靜","Cut","Fade-out","Slow","Release","起","Cinematic","ecu shot, worm-eye","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S001","2","1","1","2.7","CU","Eye-level","Pan-L","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Side-L","Harsh","Center","FG-focus","Tight","Lead-left","管場人","滄桑","對話交談","Up","Enter-L","現代劇院","日間","室內","舞台","便裝","灰藍冷色","","鑼鼓聲","","壓抑","Fade-in","Cut","Slow","Setup","起","Cinematic","cu shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S002","2","1","2","2.3","MCU","Eye-level","Pan-R","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Side-R","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","段小樓","滄桑","對話交談","Off-screen-L","Exit-R","現代劇院","日間","室內","舞台","便裝","灰藍冷色","","衣物摩擦","","嘈雜","Fade-in","Cut","Slow","Setup","起","Cinematic","mcu shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S003","2","1","3","3.0","MS","Eye-level","Tilt-up","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Back","Harsh","Symmetry","FG-focus","Tight","Lead-left","管場人","懷舊","對話交談","Camera","Enter-L","現代劇院","日間","室內","聚光燈","便裝","灰藍冷色","","呼吸聲","","壓抑","Fade-out","Cut","Slow","Setup","起","Cinematic","ms shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S004","2","1","4","2.4","MLS","Eye-level","Tilt-down","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Top","Harsh","Dynamic","FG-focus","Tight","Lead-left","程蝶衣","滄桑","環顧四周","Off-screen-R","Exit-R","現代劇院","日間","室內","京劇頭面","便裝","灰藍冷色","","鑼鼓聲","","迴響","Wipe","Cut","Slow","Setup","起","Cinematic","mls shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S005","2","1","5","2.3","LS","Eye-level","Dolly-in","Wide 16mm","Deep","Hard-key","High-key","Warm-3200K","Bottom","Harsh","Rule-of-thirds","FG-focus","Tight","Lead-left","路人","畏怯","牽手走路","Down","Static","北平廟會","日間","雪天","年貨","破舊棉襖","暖黃雜色","臭婊子","","","壓抑","Match-cut","Cut","Slow","Setup","起","Cinematic","ls shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S006","2","1","6","3.2","ELS","Eye-level","Dolly-out","Wide 24mm","Deep","Hard-key","High-key","Warm-3200K","3-point","Harsh","Center","FG-focus","Tight","Lead-left","路人","畏怯","張望","Camera","Turn","北平廟會","日間","雪天","攤販貨物","破舊棉襖","暖黃雜色","","鑼鼓聲","","嘈雜","J-cut","Cut","Medium","Build","起","Cinematic","els shot, eye-level","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S007","2","1","7","3.3","OTS","High-angle","Truck-L","Wide 24mm","Deep","Hard-key","High-key","Warm-3200K","Front","Harsh","Golden-ratio","FG-focus","Tight","Lead-left","小豆子娘","決絕","張望","Down","Turn","北平廟會","日間","雪天","攤販貨物","破舊棉襖","暖黃雜色","","環境音","","空曠","L-cut","Cut","Medium","Build","起","Cinematic","ots shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S008","2","1","8","2.9","POV","High-angle","Truck-R","Wide 24mm","Deep","Soft-key","High-key","Warm-3200K","Side-L","Harsh","Symmetry","MG-focus","Tight","Lead-left","小豆子","市井","張望","Down","Exit-R","北平廟會","日間","雪天","年貨","破舊棉襖","暖黃雜色","","呼吸聲","","空曠","Cut","Cut","Medium","Build","起","Cinematic","pov shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S009","2","2","9","3.8","2Shot","High-angle","Crane-up","Wide 24mm","Deep","Soft-key","High-key","Warm-3200K","Side-R","Harsh","Dynamic","MG-focus","Tight","Lead-left","關師傅","威嚴","揮打","Down","Exit-R","關家科班","黃昏","陰冷","刀胚子","練功服","土褐暗色","","衣物摩擦","","迴響","Dissolve","Cut","Medium","Build","起","Cinematic","2shot shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S010","2","2","10","3.7","ECU","High-angle","Crane-down","Wide 24mm","Shallow","Soft-key","High-key","Neutral-5600K","Back","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","小石頭","恐懼","偷看","Off-screen-L","Enter-R","關家科班","黃昏","陰冷","刀胚子","練功服","土褐暗色","打死我也不跑了","","漸強","嘈雜","Fade-in","Cut","Medium","Build","起","Cinematic","ecu shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S011","2","2","11","2.1","CU","High-angle","Handheld","Wide 24mm","Shallow","Soft-key","High-key","Neutral-5600K","Top","Soft","Center","MG-focus","Normal","Lead-right","小癩子","堅毅","哭泣","Down","Exit-L","關家科班","黃昏","陰冷","竹竿","練功服","土褐暗色","","","","安靜","Fade-out","Cut","Medium","Build","起","Cinematic","cu shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S012","2","2","12","3.3","MCU","High-angle","Steadicam","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","Bottom","Soft","Golden-ratio","MG-focus","Normal","Lead-right","小石頭","堅毅","哭泣","Off-screen-R","Cross","關家科班","黃昏","陰冷","竹竿","破衣","土褐暗色","","鑼鼓聲","","安靜","Wipe","Cut","Medium","Build","起","Cinematic","mcu shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S013","2","2","13","3.1","MS","High-angle","Drone","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","3-point","Soft","Symmetry","MG-focus","Normal","Lead-right","小豆子娘","痛楚","掙扎","Down","Enter-L","胡同磨刀攤","日間","雪天","菜刀","破舊棉襖","白灰血紅","","人群嘈雜","","安靜","Match-cut","Cut","Medium","Build","起","Cinematic","ms shot, high-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S014","2","2","14","2.1","MLS","Low-angle","Static","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","Front","Soft","Dynamic","MG-focus","Normal","Lead-right","小豆子娘","痛楚","擁抱","Camera","Cross","胡同磨刀攤","日間","雪天","菜刀","破舊棉襖","白灰血紅","","鑼鼓聲","","嘈雜","J-cut","Cut","Medium","Build","起","Cinematic","mls shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S015","2","2","15","3.9","LS","Low-angle","Pan-L","Normal 35mm","Shallow","Soft-key","High-key","Neutral-5600K","Side-L","Soft","Rule-of-thirds","MG-focus","Normal","Lead-right","小豆子","痛楚","擁抱","Off-screen-L","Exit-R","胡同磨刀攤","日間","雪天","毡帽","老式旗袍","白灰血紅","娘，我手冷","鑼鼓聲","","迴響","L-cut","Cut","Medium","Build","起","Cinematic","ls shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S016","2","2","16","2.7","ELS","Low-angle","Pan-R","Normal 35mm","Shallow","Natural","High-key","Neutral-5600K","Side-R","Soft","Center","BG-focus","Normal","Lead-right","小豆子娘","痛楚","掙扎","Up","Cross","胡同磨刀攤","日間","雪天","毡帽","破舊棉襖","白灰血紅","","腳步聲","","安靜","Cut","Cut","Medium","Build","起","Cinematic","els shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S017","2","3","17","3.6","OTS","Low-angle","Tilt-up","Normal 35mm","Shallow","Natural","High-key","Neutral-5600K","Back","Soft","Golden-ratio","BG-focus","Normal","Lead-right","小豆子娘","恐懼","顫抖","Camera","Exit-R","關家堂屋","黃昏","室內","茶碗","破襖","暗褐暖光","","環境音","","壓抑","Dissolve","Cut","Medium","Build","起","Cinematic","ots shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
"E002_S018","2","3","18","2.9","POV","Low-angle","Tilt-down","Normal 50mm","Shallow","Natural","High-key","Neutral-5600K","Top","Soft","Symmetry","BG-focus","Normal","Lead-right","小豆子","懇求","跪地","Off-screen-R","Static","關家堂屋","黃昏","室內","茶碗","破襖","暗褐暖光","","呼吸聲","","空曠","Fade-in","Cut","Medium","Build","起","Cinematic","pov shot, low-angle","Melancholic","high-key lighting","《霸王別姬》陳凱歌 1Mo"
