shot_id,episode,画面描述,视频描述,Image_Prompt,Video_Prompt
"E001_S011",1,"隧道出口，一家三口从黑暗中走出，眼前豁然开朗。他们站在一个山坡上，俯瞰下方一个沐浴在金色黄昏下的、空无一人的日式小镇。小镇建筑古色古香，街道两旁挂满红灯笼和招牌，但寂静无声，空无一人。千寻睁大眼睛，被眼前的景象震惊，而父母则露出惊喜和好奇的笑容。柔和的夕阳为整个场景镀上一层温暖的金色光晕，但这份美丽中透着一丝诡异。","镜头从隧道出口内向外拍摄，一家三口剪影走出，然后镜头迅速拉高，变为一个从他们背后俯瞰小镇的大远景（Extreme Long Shot）。镜头缓慢向右平移（Pan Right），展示小镇的全貌。时长5秒，节奏从走出隧道的释放感，转为面对广阔未知的震撼。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, golden hour, a family emerging from a dark tunnel onto a hillside overlooking an empty, traditional Japanese town, red lanterns, old buildings, silent and deserted, girl in awe, parents smiling, warm golden glow, eerie beauty, --ar 16:9 --sref 1863909815","Cinematic reveal shot, from silhouette at tunnel exit to extreme long shot overlooking the town, slow pan right to show the scale, 5 seconds, awe-inspiring and eerie, Ghibli style"
"E001_S012",1,"空荡的美食街。街道两旁摆满了琳琅满目的美食摊：堆积如山的晶莹剔透的肉包子、油光发亮的烤鸡、色彩鲜艳的各式糕点，全都热气腾腾，香气仿佛能透过画面。但摊位后空无一人。千寻的父母已经完全被食物吸引，眼睛放光，径直走向一个摊位。千寻独自站在街道中央，抱着自己的手臂，感到越来越不安。她看着父母兴奋的背影，与周围诡异的寂静形成对比。光影是温暖的橙色食物灯光与逐渐变深的蓝色暮光交织。","跟随镜头（Follow Shot），跟随千寻父母的背影中景，他们兴奋地走向食物摊。然后镜头停住，让父母出画，焦点留在原地不动的千寻身上，变为她的中近景（Medium Close-Up），突出她孤独和不安的表情。时长4秒，节奏先紧后缓，对比父母的急切与千寻的停滞。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, empty food street at dusk, stalls overflowing with steaming buns, roasted meats, colorful desserts, no vendors in sight, parents eagerly walking towards food, girl standing alone in the middle of the street looking anxious, warm food stall lights against deepening blue twilight, --ar 16:9 --sref 1863909815","Follow shot of parents walking, then static medium close-up on the girl left behind, 4 seconds, contrasting moods of eagerness and unease, Ghibli style"
"E001_S013",1,"父母变猪的惊悚时刻。在一个美食摊前，千寻的父母已经坐下，疯狂地往嘴里塞着食物，举止粗鲁，完全失去了人样。千寻跑过来，惊恐地试图阻止他们。突然，一阵诡异的紫色雾气笼罩了他们。当雾气散去，座位上只剩下两头穿着父母衣服的、仍在贪婪咀嚼的肥猪。千寻吓得捂住嘴，后退一步，瞳孔剧烈收缩。场景灯光变得诡异，食物散发出的光芒变得妖异。","快速推镜头（Quick Dolly In）到父母疯狂进食的中景，然后一个急促的变焦（Snap Zoom）到千寻惊恐的面部特写（Close-Up）。接着镜头围绕千寻缓慢旋转半圈（Orbit），展示她面对变成猪的父母时孤立无援的震惊。时长6秒，节奏突变，从混乱到瞬间的静止和震惊。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, horrifying moment, parents transformed into pigs wearing clothes, greedily eating at a food stall, girl in shock covering her mouth, eerie purple mist, grotesque and magical lighting on the food, --ar 16:9 --sref 1863909815","Quick dolly in to parents eating, snap zoom to girl's shocked close-up, then slow half orbit around her, 6 seconds, shocking and horrifying reveal, Ghibli style"
"E001_S014",1,"暮色四合，小镇的红色灯笼和店铺灯火逐一亮起，但光芒非但没有带来温暖，反而让空荡的街道显得更加诡异和陌生。远处，一座横跨水面的木桥后，传来蒸汽火车悠长而孤独的汽笛声，一道火车的灯光在暮色中划过。千寻站在变得陌生的街道中央，被灯火和阴影包围，极度恐惧。她的影子在多个光源下拉得很长、很乱。","镜头从千寻的仰拍视角（Low Angle）快速拉升至一个大远景（Extreme Long Shot），展示她被灯火通明却空无一人的小镇建筑包围的渺小身影。同时镜头微微逆时针旋转（Camera Roll），加剧失衡和迷失感。远处火车灯光作为视觉引导。时长5秒，节奏缓慢而压迫，强调她的孤独与环境的巨变。",,"Low angle on girl, then rapid pull out to extreme long shot, slight counter-clockwise camera roll, 5 seconds, feeling of being lost and overwhelmed, Ghibli style"
"E001_S015",1,"白龙突然现身。一阵风掠过，吹动千寻的头发和衣裙。一个穿着白色和服、面容清秀冷峻的少年（白龙）如同幻影般出现在街道尽头的拱桥上，背对着逐渐深蓝的夜空和初现的星辰。他眼神锐利，直视千寻。月光开始洒下，在他身上勾勒出银边。氛围从纯粹的恐惧转为神秘和一丝希望。","平滑升镜环绕（Pedestal Up + Orbit）。镜头从千寻的视角（POV）开始，看向桥的方向（空镜）。然后镜头快速平滑上升并向前推进，同时环绕刚刚出现在桥上的白龙半圈，最终定格在他冷静而严肃的面部中近景上。时长4秒，节奏干净利落，带有超自然登场的神圣感。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, night, a mysterious boy (Haku) in white kimono appears on a bridge, sharp eyes, moonlight outlining his figure, deep blue sky with first stars, girl in distance looking on, mystical and urgent atmosphere, --ar 16:9 --sref 1863909815","Smooth pedestal up combined with orbit around the mysterious boy appearing on the bridge, ending on his medium close-up, 4 seconds, mystical and dramatic entrance, Ghibli style"
"E001_S016",1,"千寻身体透明化的恐怖瞬间。在桥下河边，白龙严厉地警告千寻。千寻低头看向自己的双手，惊恐地发现它们在月光下开始变得半透明，仿佛随时会消散在空气中。她能透过手掌看到对岸的灯火和建筑的模糊光影。她的脸上混合着难以置信、恐惧和绝望。白龙的身影在她透明的双手后显得模糊而遥远。画面以冷色调的蓝、白为主，突出灵异和脆弱感。","特写镜头（Extreme Close-Up）聚焦于千寻变得透明的双手。镜头极其缓慢地向前推进，同时焦点从透明的手掌转移到她映在手掌后、因恐惧而扭曲的倒影上。接着一个快速拉出（Pull Out）到她的全身镜头，展示她整个身体都在微微发光并变得稀薄。时长5秒，节奏先极慢后急促，营造逐渐消失的惊悚过程。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, night by the river, girl's hands becoming translucent and ghostly under moonlight, you can see distant lights through her palms, her face reflected in the transparent skin filled with terror, boy (Haku) standing nearby, cold blue and white color palette, ethereal and frightening, --ar 16:9 --sref 1863909815","Extreme close-up on translucent hands, slow push in, focus rack to the reflection of her terrified face, then quick pull out to full body shot, 5 seconds, horrifying process of disappearing, Ghibli style"
"E001_S017",1,"黄昏时分，千寻一家穿过隧道后，眼前豁然开朗。一条古色古香的日式商业街映入眼帘，街道由青石板铺成，两旁是挂着红灯笼和暖帘的木造建筑。摊位上摆满了热气腾腾的关东煮、金黄的天妇罗、晶莹剔透的团子，食物散发着诱人的光泽和蒸汽。父母被香气吸引，脸上露出惊喜和渴望的表情，径直走向摊位。千寻则站在街道中央，双手紧握书包带，眉头微蹙，不安地环顾四周。吉卜力风格的柔和光影下，夕阳的余晖将街道染成温暖的橙黄色，但空无一人的寂静与食物的丰盛形成诡异对比，空气中弥漫着不安的甜美气息。","镜头从隧道出口以中远景（MS）开始，模拟千寻的视角，缓慢向前推入（Dolly In）街道，展示全景。时长4秒。节奏平缓但带有探索感。随后镜头切至父母的中景（MS），跟拍他们走向摊位的背影，突出他们的急切。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, dusk, a deserted ancient Japanese shopping street, stone pavement, wooden buildings with red lanterns and noren curtains, food stalls with steaming oden, tempura, dango, warm orange sunset glow, parents walking eagerly towards food, Chihiro standing in the middle of the street looking worried, holding her backpack straps, empty street, eerie yet beautiful atmosphere, detailed background, --ar 16:9 --sref 1863909815","Cinematic shot, medium wide shot from tunnel exit, slow dolly push into the mysterious street, 4 seconds, Ghibli style, atmospheric dusk lighting, exploring the empty town."
"E001_S018",1,"特写镜头对准摊位上的食物。关东煮在深色汤汁中咕嘟冒泡，萝卜吸饱了汤汁显得晶莹剔透；天妇罗虾的尾巴翘起，裹着轻薄酥脆的面衣，油光闪闪；三色团子整齐地串在竹签上，表面光滑。食物的细节被放大，色彩鲜艳欲滴，蒸汽袅袅上升，在夕阳下形成光晕。画面一角，父亲的手入镜，迫不及待地拿起一串团子。整个画面充满诱人的质感和夸张的食欲表现，但过于完美的食物在空荡背景下显得不真实。","一系列快速的特写（CU）和极端特写（ECU）镜头组接，分别展示不同食物。每个镜头时长1.5-2秒，节奏较快，带有强调和诱惑感。镜头运动以固定微距为主，轻微晃动模拟蒸汽的热气。最后镜头拉出（Pull Out）到父亲拿起食物的中近景（MCU）。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, extreme close-up, food details, steaming oden with daikon, crispy tempura shrimp on a plate, colorful dango skewers, glossy textures, appetizing, warm sunset light creating halos on steam, father's hand reaching into frame, exaggerated deliciousness, --ar 16:9 --sref 1863909815","Series of cinematic close-up shots, static macro shots of various foods with slight steam-induced wobble, 1.5-2 seconds each, highlighting tempting details, Ghibli style."
"E001_S019",1,"中景镜头。父母已经坐在一个露天摊位前，面前堆满了食物盘子。他们埋头狼吞虎咽，动作夸张，腮帮子塞得鼓鼓的，汤汁沾在嘴角也毫不在意。父亲发出满足的哼声，母亲眼睛眯成缝。千寻站在几步之外，背对着镜头（观众看到她的背影），面对父母的方向。她试图劝阻：“爸爸，妈妈，别吃了！这里好奇怪！”但她的声音被父母的咀嚼声淹没。画面色彩依然温暖，但父母身上的阴影逐渐加深，暗示不祥。","固定机位中景（MS），正面拍摄父母贪吃的状态，持续3秒。随后镜头缓慢向右平移（Pan Right），将站在一旁的千寻背影纳入画面，形成父母（前景/焦点）与千寻（后景/失焦）的对比构图。时长共5秒。节奏从专注的静态变为缓慢揭示。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, medium shot, parents sitting at a food stall, devouring food exaggeratedly, plates piled up, sauce on their faces, Chihiro's back is to the camera in the background, trying to call out to them, warm but deepening shadows on parents, contrast between gluttony and worry, detailed expressions, --ar 16:9 --sref 1863909815","Cinematic shot, fixed medium shot of parents eating, then slow pan right to reveal Chihiro's worried背影 in the background, 5 seconds, Ghibli style, contrasting focus."
"E001_S020",1,"千寻的近景（MCU）。她转过身，不再看父母，独自沿着空荡的街道向前走。街道两旁的灯笼不知何时已经自动亮起，发出温暖的橘光，与深蓝色的暮色天空形成对比。她的影子被拉得很长，脚步声在寂静中回响。她好奇又害怕地打量着紧闭的店铺门和随风轻轻摆动的暖帘。远处，一座巨大的日式澡堂建筑“油屋”的轮廓在渐浓的夜色和雾气中若隐若现，灯火通明，传来隐约的喧闹声。画面充满孤独感和对未知的探索。","跟拍镜头（Follow Shot），从千寻的侧面中景（MS）开始，镜头与她平行移动，保持她始终在画面中央。随着她行走，镜头轻微上升（Pedestal Up）并缓慢推进（Dolly In），变为她的中近景（MCU），突出她脸上的表情。时长6秒。节奏缓慢、孤独，带有探索的韵律。背景中的油屋逐渐清晰。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, medium close-up, Chihiro walking alone on a deserted lantern-lit street at dusk, long shadow, blue hour sky, warm orange lantern lights, she looks around curiously and fearfully, distant silhouette of the grand bathhouse 'Aburaya' glowing in the misty night, sense of loneliness and mystery, detailed background, --ar 16:9 --sref 1863909815","Cinematic follow shot, side view of Chihiro walking, camera moves parallel and slowly dollies in to a medium close-up, 6 seconds, Ghibli style, lonely and exploratory pace, revealing the bathhouse in the distance."
"E001_S021",1,"突然，一声悠长而凄厉的蒸汽火车汽笛声划破夜空！千寻猛地停住脚步，惊恐地回头望向声音来源（画面外）。特写她的脸部，眼睛瞪大，瞳孔收缩，嘴巴微张。她身后的街道灯光似乎闪烁了一下，雾气不知从何处涌来，变得更浓，开始弥漫街道。远处油屋的灯光在雾中晕开，变得朦胧而诡异。气氛瞬间从寂静的探索转变为明确的危险预警。","镜头从千寻的侧面跟拍急速变焦（Quick Zoom In）到她的面部特写（CU），模拟她受惊瞬间的注意力集中。时长2秒，节奏突变。紧接着，镜头保持特写，但背景通过焦点变化（Rack Focus）变得模糊，同时加入雾气弥漫和灯光闪烁的视觉效果。时长2秒。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, close-up on Chihiro's face, she suddenly stops and looks back in terror, eyes wide, pupils contracted, mouth slightly open, steam train whistle sound implied, mist rolling in behind her, distant bathhouse lights blurred and hazy, dramatic shift in atmosphere, fearful expression, --ar 16:9 --sref 1863909815","Cinematic shot, quick zoom into Chihiro's terrified face from a follow shot, then rack focus to blur the misty background, 4 seconds total, Ghibli style, sudden dramatic tension."
"E001_S022",1,"千寻惊恐地转身，朝着来时的方向狂奔。镜头变为低角度仰拍（Low Angle）的跟拍（Follow），从她身后追逐。她的书包在背上跳动，头发飞扬。街道两侧的景物因快速运动而模糊成色块，红灯笼的光拉成流动的线条。雾气紧追其后，仿佛有生命般涌动。她的呼吸声和急促的脚步声成为主要音效。画面充满动感和恐慌。","动态跟拍镜头，采用低角度（Low Angle）从千寻身后略侧的位置拍摄。镜头剧烈晃动（Camera Shake）模拟奔跑的颠簸感，同时快速推进（Dolly In）以增加紧迫感。背景运动模糊（Motion Blur）效果强烈。时长3秒。节奏极快、紧张。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, low angle follow shot from behind, Chihiro running in panic back down the street, backpack bouncing, hair flying, motion blur of red lanterns and buildings, mist chasing her, dynamic and fearful motion, breathless atmosphere, --ar 16:9 --sref 1863909815","Cinematic dynamic follow shot, low angle from behind Chihiro, camera shake and fast dolly in, motion blur, 3 seconds, Ghibli style, intense panic and movement."
"E001_S023",1,"千寻跑回食物摊位前，猛地刹住脚步。中景镜头。眼前的景象令人毛骨悚然：父母坐的地方，只剩下两头巨大的、粉色的猪！它们穿着父母的衣服，衣服已经被撑破，正发出满足的“哼唧”声，继续用鼻子拱着地上的空盘子，对千寻的到来毫无反应。摊位上的食物已经消失不见。雾气笼罩着这一幕，灯笼的光变得惨白。千寻僵在原地，双手捂住嘴，难以置信地睁大眼睛，巨大的恐惧让她无法动弹。","镜头从千寻奔跑的后背跟拍，随着她急停，镜头也快速稳定下来，变为一个固定的中景（MS）正面镜头，揭示恐怖的场景。时长4秒。前2秒是奔跑的延续，后2秒是静止的震惊。构图将两头猪置于前景焦点，千寻震惊的脸置于后景焦点，形成残酷的对比。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, medium shot, two giant pink pigs wearing torn clothes of Chihiro's parents, snorting and rooting at empty plates on the ground, Chihiro frozen in horror in the background, hands over mouth, eyes wide with terror, mist surrounds the scene, lantern light turns pale white, shocking and surreal atmosphere, --ar 16:9 --sref 1863909815","Cinematic shot, from a follow shot to a fixed medium shot, revealing the shocking transformation, 4 seconds, Ghibli style, stark contrast between the pigs and Chihiro's horror."
"E001_S024",1,"特写千寻捂住嘴的手。在惨白的光线下，她手的边缘开始变得模糊、透明，仿佛正在从现实世界中溶解消失。可以透过她的手背隐约看到后面雾气和灯笼的朦胧光晕。她低头看着自己透明化的手，发出无声的尖叫，极度恐惧的泪水在眼眶中打转。画面色彩褪去一部分，饱和度降低，强调超自然和失去存在的恐怖感。这是她即将消失的视觉征兆。","极端特写（ECU）镜头对准千寻的手。镜头完全固定，时长3秒。没有任何镜头运动，所有张力来自画面内元素的可怕变化——手的逐渐透明化。光线和色彩进行细微调整以配合透明效果。这是本段情绪的最高点，节奏沉重、凝固。","Ghibli anime style, Hayao Miyazaki, soft watercolor lighting, cinematic, 8K, film grain, extreme close-up on Chihiro's hands covering her mouth, the edges of her hands are becoming translucent and fading,隐约可以看到 misty lantern light through her skin, desaturated colors, tears in her eyes reflected in the shot, extreme fear, surreal and horrifying disappearance effect, --ar 16:9 --sref 1863909815","Cinematic extreme close-up, static shot of Chihiro's hand turning transparent, 3 seconds, Ghibli style, no camera movement, focusing on the horrifying visual effect of disappearance."
