shot_id,duration,shot_type,scene,environment,lighting,mood,character,action,dialogue,camera_movement,Image_Prompt,Video_Prompt
11,4,跟拍全景,街道/河边,黑暗街道/升起的河水/逼近的神灵,极低照明/水面反光/神灵发光,绝望/逃亡,千尋,千尋绝望地奔跑，身体越来越透明，河水上涨,,快速跟拍,"Girl running desperately through dark streets as water rises. Her body increasingly transparent. Spirits everywhere. River flooding the town. Low lighting with reflections on water. Chase and panic atmosphere. Ghibli supernatural","Fast tracking shot following transparent girl running. Water rising in streets. Dark spirits crowd around. Her panicked breathing, stumbling steps. Body fading. Desperate escape through supernatural flooding. Ghibli horror"
12,3,中景,河边栏杆,木栏杆/上涨的河水/黑暗背景,微弱月光/神秘人物背光,神秘/希望,白龙,白龙从黑暗中出现，英俊少年，伸出手递给她食物,白龙：快吃下这个！,固定机位,"Handsome boy emerging from darkness at riverside. He extends his hand offering food to the girl. Moonlight backlighting creates mysterious silhouette. River water rising behind. Mysterious savior appearance. Ghibli style, dramatic","Static shot as mysterious boy emerges from shadows. Moonlight behind him creates ethereal glow. He urgently offers food to frightened girl. Rising water visible. Hope amidst danger. Dramatic Ghibli moment"
13,4,特写,河边,千尋脸部/食物/泪水,柔和侧光/泪光闪烁/希望感,感激/希望,千尋,千尋吃下食物，泪水和希望混合的表情，身体开始恢复,,固定特写,"Extreme close-up of girl eating the food given to her. Tears still wet on her cheeks but hope returning to her eyes. Soft side lighting. Her skin becoming solid again. Emotional turning point. Ghibli intimate moment","Static close-up of girl's face as she eats. Tears glisten. Expression shifts from despair to fragile hope. Subtle visual effect as transparency fades. Soft lighting. Emotional, intimate Ghibli moment"
14,5,跟拍全景,大桥,巨大红桥/拥挤的神灵/蒸汽/灯火,暖色灯光/蒸汽朦胧/热闹繁华,紧张/奇幻,白龙带千尋,白龙拉着千尋的手穿过挤满神灵的大桥,白龙：不要呼吸！一直往前走！,快速跟拍穿梭人群,"Two figures running across a massive red bridge crowded with spirits of all shapes. Lanterns and steam everywhere. Bustling supernatural marketplace atmosphere. Girl holds her breath, boy leads determinedly. Ghibli magical world","Fast tracking through crowded spirit bridge. Tall lanterns, steam clouds, bizarre creatures everywhere. Boy pulls girl through the chaos. She holds breath, eyes wide. Dynamic camera weaving through crowd. Ghibli fantasy"
15,5,仰拍大全景,汤屋外观,巨型日式澡堂建筑/多层木结构/烟囱蒸汽/无数窗户灯光,暖色内部灯光/蓝色夜空对比/壮观,震撼/敬畏,汤屋,巨大的汤屋建筑矗立眼前，灯火辉煌，蒸汽升腾,,缓慢仰拍上升,"Massive traditional Japanese bathhouse rising into night sky. Multiple wooden levels, countless lit windows, steam billowing from chimneys. Blue night sky contrasts warm golden interior lights. Awe-inspiring scale. Ghibli iconic architecture","Slow tilt up revealing the enormous bathhouse. Camera rises from ground level, emphasizing impossible scale. Steam clouds, lit windows like stars. Night sky behind. Majestic, overwhelming presence. Ghibli landmark reveal"
16,3,中景,汤屋入口,巨大木门/灯笼/繁忙的员工进出,门内暖光外溢/外部较暗,紧张/渺小,千尋,千尋怯生生站在入口，显得渺小，不敢进去,,固定中景,"Girl standing before massive bathhouse entrance. Giant wooden doors, paper lanterns, workers rushing past. Warm light spilling from inside contrasts dark exterior. She looks tiny and terrified. Scale emphasizes her vulnerability. Ghibli","Static shot of girl hesitating at bathhouse entrance. Workers bustle around ignoring her. Warm light from inside, she remains in shadow. Enormous doors dwarf her small figure. Fear and determination. Ghibli scale contrast"
17,4,仰拍中景,汤婆婆办公室,华丽日式房间/堆满珠宝财物/烟雾,暖色豪华灯光/金色反光/阴影浓重,威胁/压迫,汤婆婆,汤婆婆出现，巨大的头颅，严厉的眼神，充满压迫感,汤婆婆：想在这里工作？先签下名字！,低角度仰拍,"Intimidating old witch with enormous head looming over camera. Luxurious Japanese room filled with treasures. Heavy shadows on her face. Gold reflections. She points commandingly. Overwhelming presence. Ghibli villain design","Low angle shot looking up at witch with oversized head. Rich interior, smoke wisps. Her huge eyes scrutinize. Pointing finger dominates frame. Oppressive atmosphere. Fear-inducing power. Ghibli intimidation"
18,3,特写,契约,毛笔/和纸契约/正在书写的名字,温暖烛光/纸张质感/墨迹,命运/失去,千尋的手和契约,千尋签下名字"荻野千尋"，部分名字开始消失,,固定微距特写,"Extreme close-up of brush writing 'Ogino Chihiro' on traditional paper contract. Candlelight flickers. As ink dries, characters begin to magically fade and disappear. Loss of identity visualized. Ghibli magical detail","Macro shot of brush strokes forming name on contract. Warm candlelight. Magical effect as part of the name dissolves, characters lifting off paper like smoke. Identity being stolen. Intimate, horrifying detail"
19,4,近景,汤婆婆办公室,模糊的豪华背景/聚焦在千尋脸上,侧面单灯照明/一半脸在阴影,迷失/空虚,千尋变成千,千尋神情恍惚，眼神空洞，已变成"千",汤婆婆(画外)：从现在起你叫千！,固定近景,"Close-up of girl's face, expression vacant and confused. Half her face in shadow from single side light. Blurred rich room behind. She has lost part of herself. Identity crisis visualized. Ghibli psychological moment","Static close-up on girl's transformed expression. Empty eyes, confused. Side lighting creates shadow on half her face - symbolizing lost identity. Background blurs. Psychological impact of losing her name. Haunting"
20,5,俯拍全景,浴室大厅,巨大浴室/石板地/蒸汽/忙碌的员工,高处窗户透进的光/蒸汽朦胧/潮湿感,辛劳/渺小,千（千尋）,千跪在地上擦洗巨大的浴室地板，周围员工匆匆走过,,高角度俯拍缓慢推进,"High angle shot of girl scrubbing massive bathhouse floor. Steam rises, workers rush past ignoring her. Huge scale of the room. She is tiny, working hard. Wet stone floors reflect dim light. Beginning of her journey. Ghibli","Slow push-in from high angle. Tiny girl scrubbing enormous floor. Steam clouds, busy workers. Scale emphasizes her new lowly position. Determination in her small movements. Start of transformation through hard work. Ghibli"
